,TARGET,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_WORK_PHONE,REGION_RATING_CLIENT,HOUR_APPR_PROCESS_START
100002,1,0,202500,406597.5,24700.5,351000,0.018801,-9461,-637,-3648,-2120,0,2,10
100031,1,0,112500,979992,27076.5,702000,0.018029,-18724,-2628,-6573,-1827,0,3,9
100032,0,1,112500,327024,23827.5,270000,0.019101,-15948,-1234,-5782,-3153,0,2,10
100044,0,0,121500,454500,15151.5,454500,0.030755,-21077,-1288,-5474,-4270,0,2,10
100045,0,0,99000,247275,17338.5,225000,0.006207,-23920,365243,-9817,-4969,0,2,11
100046,0,0,180000,540000,27000,540000,0.025164,-16126,-1761,-8236,-4292,0,2,8
100047,1,0,202500,1193580,35028,855000,0.025164,-17482,-1262,-1182,-1029,0,2,9
100048,0,0,202500,604152,29196,540000,0.009175,-16971,-475,-3148,-513,0,2,12
100049,1,0,135000,288873,16258.5,238500,0.007305,-13384,-3597,-45,-4409,1,3,11
100093,0,1,94500,585000,28273.5,585000,0.028663,-18253,-721,-1701,-1779,0,2,16
100094,0,0,108000,113760,5301,90000,0.030755,-22935,365243,-12623,-3442,0,2,10
100095,0,2,67500,135000,6750,135000,0.020246,-18693,-1434,-10255,-2241,0,3,8
100096,1,0,81000,252000,14593.5,252000,0.028663,-24794,365243,-5391,-4199,0,2,10
100108,0,3,171000,545040,31288.5,450000,0.006629,-12780,-1415,-5146,-870,1,2,11
100110,0,3,135000,373140,25065,337500,0.035792,-10744,-741,-442,-2381,0,2,9
100111,0,1,112500,862560,27954,720000,0.0228,-10485,-1249,-4628,-3110,0,2,11
100112,1,0,315000,953460,64107,900000,0.030755,-10199,-2015,-4802,-1038,0,2,13
100113,0,0,76500,135000,6696,135000,0.028663,-15137,-7980,-9176,-4576,1,2,10
100126,0,2,135000,180000,9000,180000,0.04622,-12900,-782,-2124,-3888,1,1,21
100127,0,0,112500,52128,5341.5,45000,0.02461,-21341,365243,-10150,-1403,0,2,7
100129,0,1,85500,135000,6750,135000,0.018029,-9415,-225,-4066,-2104,0,3,8
100130,1,1,157500,723996,30802.5,585000,0.007274,-10526,-267,-387,-3190,0,2,12
100131,0,0,270000,891072,45625.5,720000,0.072508,-13830,-1169,-7953,-4802,0,1,15
100156,0,2,157500,945000,39127.5,945000,0.018209,-14235,-5411,-2248,-5376,0,3,14
100157,0,0,180000,1755000,61132.5,1755000,0.01452,-16086,-1549,-3174,-4584,0,2,7
100158,0,0,180000,590337,27486,477000,0.0228,-12348,-1821,-1909,-4800,0,2,12
100159,0,0,225000,1515415.5,41800.5,1354500,0.003818,-14645,-4027,-7154,-1969,1,2,3
100160,1,0,292500,675000,36747,675000,0.035792,-16667,-200,-5239,-114,1,2,18
100161,0,0,90000,370629,13972.5,306000,0.00712,-16219,-2599,-9329,-4325,0,2,9
100179,0,0,202500,675000,53329.5,675000,0.031329,-11375,-2311,-180,-2009,0,2,13
100180,0,1,315000,1288350,37800,1125000,0.020713,-15581,-4940,-9520,-5239,0,3,15
100181,1,0,157500,245619,12667.5,166500,0.022625,-17538,-7676,-774,-1082,0,2,9
100182,0,1,112500,135000,6750,135000,0.020246,-13558,-4758,-6426,-4360,0,3,8
100190,0,0,162000,263686.5,24781.5,238500,0.022625,-13972,-4472,-464,-4529,0,2,16
100191,0,0,112500,544491,17563.5,454500,0.030755,-21819,-8355,-8440,-4474,0,2,18
100192,1,0,111915,225000,21037.5,225000,0.018801,-7989,-150,-2570,-646,1,2,16
100193,0,0,225000,296280,15124.5,225000,0.020246,-17879,-940,-2294,-1441,1,3,15
100207,0,0,157500,700830,22738.5,585000,0.01885,-16518,-3592,-3627,-44,0,2,10
100208,0,1,180000,888840,29016,675000,0.007114,-12648,-2802,-2109,-4594,0,2,11
100209,1,3,180000,540000,27000,540000,0.02461,-15326,-1038,-782,-792,0,2,18
100210,0,1,202500,771493.5,25627.5,666000,0.005313,-16475,-17,-1225,-25,0,2,12
100211,0,3,225000,746280,49873.5,675000,0.006233,-14033,-328,-544,-554,1,2,14
100213,0,2,49500,278460,19930.5,225000,0.031329,-13873,-1282,-632,-5042,0,2,10
100214,1,1,202500,436032,28516.5,360000,0.032561,-10127,-111,-1724,-337,0,1,14
100215,0,0,90000,227520,8172,180000,0.025164,-21703,365243,-9849,-4980,0,2,13
100242,0,0,90000,101880,10827,90000,0.005144,-20945,-7359,-7395,-4287,1,2,12
100243,0,0,112500,161730,13833,135000,0.028663,-9720,-573,-689,-2193,1,2,13
100244,0,1,247500,447768,35505,405000,0.010006,-17103,-5021,-221,-647,1,2,14
100246,1,0,135000,495216,26995.5,427500,0.008019,-12824,-154,-6764,-126,0,2,10
100268,0,0,85500,225000,18040.5,225000,0.014464,-10571,-1028,-643,-1899,0,2,12
100269,0,0,180000,427450.5,23319,369000,0.010276,-11180,-1313,-4774,-3699,0,2,9
100270,0,0,90000,337500,16875,337500,0.032561,-21497,365243,-14502,-4288,0,1,16
100272,0,1,135000,180000,9000,180000,0.010006,-9135,-460,-1219,-1815,1,2,14
100273,1,0,157500,1710000,66262.5,1710000,0.004849,-23127,-9274,-817,-4173,0,2,10
100277,0,0,67500,364896,16200,315000,0.006008,-21812,365243,-12539,-5030,0,2,19
100279,0,0,180000,254700,16407,225000,0.072508,-23946,365243,-6935,-3948,0,1,16
100281,0,1,112500,675000,21906,675000,0.025164,-17957,-4942,-7868,-1478,1,2,15
100282,1,0,73341,135000,6750,135000,0.018801,-9157,-146,-2926,-1822,0,2,11
100283,0,0,135000,747000,38268,747000,0.026392,-12585,-870,-6120,-4734,0,2,10
100284,0,2,180000,675000,29862,675000,0.015221,-14445,-3218,-5173,-5186,0,2,16
100285,0,0,112500,180000,9000,180000,0.028663,-10755,-1185,-765,-3443,0,2,13
100286,1,1,121500,263686.5,17298,238500,0.014464,-17847,-448,-3595,-1381,0,2,5
100287,0,0,202500,225000,22383,225000,0.026392,-24891,365243,-2120,-2019,0,2,15
100293,0,0,202500,1271281.5,65956.5,1201500,0.019101,-14247,-2993,-3842,-4142,0,2,18
100294,0,0,157500,835380,35392.5,675000,0.00963,-20984,-7148,-8781,-3962,0,2,11
100295,1,1,225000,1019205,31032,774000,0.072508,-11356,-602,-335,-3224,0,1,14
100296,0,1,225000,223884,24241.5,202500,0.04622,-17186,-1116,-4258,-730,0,1,13
100297,0,0,135000,334152,17059.5,270000,0.026392,-10427,-1274,-2609,-3027,0,2,18
100298,0,0,270000,473760,48676.5,450000,0.020713,-16223,-3077,-3425,-5501,0,3,10
100299,0,0,112500,540000,27000,540000,0.006008,-19045,-11916,-6644,-2566,0,2,12
100300,1,0,63000,426645,22468.5,324000,0.018634,-12209,-1572,-6348,-4551,0,2,10
100301,1,1,112500,571486.5,31131,454500,0.022625,-8292,-166,-3062,-16,0,2,11
100302,0,0,180000,187704,9256.5,148500,0.019689,-9105,-482,-5874,-1139,0,2,11
100323,0,0,450000,1575000,55800,1575000,0.026392,-18213,-2363,-4627,-1761,1,2,11
100324,0,1,112500,152820,18265.5,135000,0.003069,-10471,-1753,-4922,-2885,0,3,17
100325,0,0,135000,640080,31261.5,450000,0.031329,-20385,-2875,-4025,-3617,0,2,9
100326,1,0,36000,284400,10849.5,225000,0.018209,-22078,365243,-6748,-4542,0,3,7
100335,0,0,63000,675000,19737,675000,0.035792,-23420,365243,-14293,-4749,0,2,8
100336,1,0,157500,497520,28692,450000,0.02461,-13989,-1350,-8112,-4715,1,2,15
100337,0,0,270000,545040,26640,450000,0.04622,-9324,-872,-599,-616,0,1,15
100392,0,2,180000,180000,9000,180000,0.020246,-12325,-638,-560,-4029,0,3,7
100393,0,2,405000,2250000,59485.5,2250000,0.007114,-14966,-6158,-954,-4979,0,2,13
100394,0,0,112500,178290,11034,157500,0.035792,-23721,365243,-3367,-5013,0,2,14
100395,0,0,225000,888840,32053.5,675000,0.072508,-16719,-687,-8892,-240,0,1,17
100396,1,0,112500,417024,25330.5,360000,0.025164,-13707,365243,-7809,-4436,0,2,10
100397,0,0,144000,1417185,37512,1237500,0.006233,-22767,-2998,-10042,-4410,1,2,9
100398,0,0,81000,180000,8658,180000,0.030755,-20010,-2784,-4662,-3196,1,2,14
100400,0,0,270000,536917.5,28467,463500,0.020246,-23187,365243,-13629,-4573,0,3,11
100401,1,0,202500,343683,16663.5,261000,0.010966,-20200,365243,-973,-2779,0,2,10
100420,0,3,54000,91692,9198,81000,0.02461,-14283,-2191,-8330,-3851,0,2,15
100421,0,0,450000,900000,32017.5,900000,0.072508,-19082,-2299,-4345,-2252,0,1,11
100423,0,0,472500,1327648.5,42957,1039500,0.04622,-16376,-1251,-673,-4310,0,1,16
100424,1,0,112500,117162,12433.5,103500,0.01885,-18302,-136,-4005,-1281,0,2,11
100425,0,2,90000,688500,20259,688500,0.025164,-12982,-2850,-3476,-5139,0,2,8
100427,0,1,67500,450000,30442.5,450000,0.030755,-13455,-4971,-5851,-4246,0,2,19
100428,0,0,90000,1224990,35946,877500,0.007305,-19998,-2082,-393,-3499,0,3,6
100429,0,0,180000,629325,26793,562500,0.035792,-15438,-936,-7215,-4030,0,2,12
100437,0,1,67500,817560,30951,675000,0.035792,-21401,365243,-3940,-4642,0,2,13
100439,1,0,81000,312840,22891.5,247500,0.01885,-8038,-609,-8038,-727,0,2,17
100443,0,0,144000,456273,23296.5,346500,0.010147,-23054,365243,-3975,-4748,0,2,10
100448,0,2,202500,598486.5,25290,454500,0.00823,-11693,-3158,-2746,-3310,0,2,12
100449,0,0,157500,942300,27679.5,675000,0.030755,-16832,-5544,-8718,-379,0,2,9
100451,0,0,144000,446931,16978.5,369000,0.00702,-19501,-10988,-8368,-3013,0,2,13
100452,1,1,171000,1009566,36391.5,904500,0.025164,-18767,-2046,-6555,-2317,1,2,8
100468,0,0,112500,900000,23872.5,900000,0.010006,-18287,365243,-229,-1454,0,2,8
100469,0,0,450000,1350000,67500,1350000,0.014464,-10485,-663,-4,-2007,0,2,4
100470,0,0,225000,1345500,39469.5,1345500,0.026392,-15601,-3880,-9642,-2242,0,2,14
100471,0,1,112500,697500,35743.5,697500,0.030755,-15150,-392,-70,-6223,0,2,16
100472,1,1,135000,545040,26509.5,450000,0.008474,-13923,-519,-10704,-4739,1,2,15
100473,0,0,405000,1483231.5,51687,1354500,0.0105,-16245,-2015,-3319,-4513,0,3,12
100474,0,0,450000,900000,45000,900000,0.072508,-23045,-2652,-1813,-4227,0,1,14
100475,0,0,405000,495000,24750,495000,0.032561,-20165,-362,-91,-3577,0,1,17
100476,0,1,225000,509922,31324.5,472500,0.008625,-18469,-304,-9289,-1992,0,2,10
100477,1,1,112500,284400,22599,225000,0.015221,-13715,-151,-6193,-3754,1,2,8
100478,0,1,90000,393543,20223,328500,0.031329,-11935,-5348,-973,-2814,0,2,14
100479,0,0,90000,180000,9000,180000,0.018801,-9496,-189,-4182,-2153,0,2,7
100480,0,0,450000,473760,50269.5,450000,0.04622,-10046,-1444,-4798,-1533,1,1,16
100481,0,0,180000,540000,27000,540000,0.011657,-17599,-9542,-426,-1148,0,1,12
100482,0,0,112500,445500,16924.5,445500,0.0228,-18579,-890,-12020,-2125,0,2,8
100485,1,1,270000,810000,40500,810000,0.026392,-11353,-651,-2513,-3962,1,2,9
100486,0,0,58500,172021.5,12991.5,148500,0.015221,-23794,365243,-9471,-4250,0,2,9
100487,0,0,121500,630747,22783.5,544500,0.016612,-16476,365243,-4646,-32,0,2,13
100488,0,1,270000,364896,24075,315000,0.04622,-15300,-435,-586,-4024,0,1,10
100489,0,0,90000,238500,25816.5,238500,0.010556,-19833,-3953,-159,-3383,1,3,14
100490,1,0,135000,755190,38686.5,675000,0.00963,-9684,-2354,-3801,-2344,1,2,11
100491,0,0,193500,314100,17167.5,225000,0.003818,-12018,-644,-1199,-560,0,2,8
100492,0,3,450000,716161.5,57550.5,634500,0.006629,-12662,-892,-6586,-1849,0,2,5
100537,0,1,180000,1044724.5,37656,936000,0.020713,-11418,-3351,-5597,-2717,0,3,11
100538,0,1,157500,450000,24412.5,450000,0.030755,-16060,-3031,-3116,-3076,0,2,10
100539,0,0,184500,225000,22252.5,225000,0.02461,-14678,-3353,-2155,-5501,0,2,20
100540,1,1,157500,338832,26901,292500,0.018029,-9289,-1003,-823,-1952,0,3,11
100541,1,2,180000,900000,43299,900000,0.018209,-10616,-1065,-3964,-2700,1,3,14
100542,0,0,112500,156339,11245.5,130500,0.011703,-16388,-8923,-7741,-4192,0,2,11
100543,0,0,157500,225000,26703,225000,0.016612,-20173,365243,-9054,-3717,0,2,15
100544,0,0,96750,252000,13176,252000,0.018209,-13583,-117,-2717,-2727,0,3,10
100545,0,0,144000,1012500,29736,1012500,0.035792,-19058,-10089,-1320,-1153,0,2,9
100546,0,0,67500,508495.5,21672,454500,0.031329,-23539,365243,-6397,-4677,0,2,8
100547,1,0,211500,450000,21888,450000,0.026392,-10037,-148,-781,-2714,1,2,11
100562,0,1,337500,675000,33750,675000,0.04622,-12232,-4332,-4130,-263,0,1,11
100563,0,0,135000,1175314.5,38974.5,1053000,0.006305,-15227,-1615,-5921,-3705,0,3,6
100564,0,2,180000,835380,40320,675000,0.04622,-16304,-811,-8807,-4955,0,1,16
100565,0,0,112500,518562,25078.5,463500,0.031329,-20934,365243,-1377,-4010,0,2,10
100566,0,1,117000,932643,27400.5,778500,0.018029,-18125,-3443,-5118,-1680,0,3,10
100567,1,0,99000,180000,9000,180000,0.028663,-8063,-261,-738,-735,0,2,12
100570,0,0,180000,1395000,36927,1395000,0.028663,-13162,-215,-7286,-4794,0,2,15
100571,0,2,292500,983299.5,39127.5,904500,0.002042,-9970,-1912,-456,-2464,0,3,16
100572,0,0,31500,314055,13437,238500,0.031329,-19110,365243,-9012,-2663,0,2,9
100612,0,0,157500,1288350,37669.5,1125000,0.006671,-14573,-3569,-6268,-5016,1,2,19
100614,0,0,90000,180000,9000,180000,0.015221,-8126,-155,-7219,-786,0,2,13
100615,0,0,180000,675000,19867.5,675000,0.018209,-18294,-5493,-2520,-1732,0,3,12
100616,1,0,225000,203760,22072.5,180000,0.072508,-13481,-234,-4346,-1804,0,1,10
100619,0,0,99000,364896,13653,315000,0.005084,-11156,-890,-5089,-2320,1,2,10
100632,0,0,225000,732915,79065,675000,0.032561,-16195,-1067,-3466,-3465,0,1,11
100633,0,1,247500,414792,25195.5,315000,0.010966,-13146,-1558,-7238,-3580,0,2,15
100634,0,0,108000,157500,14575.5,157500,0.015221,-12515,-1585,-1255,-2831,1,2,8
100635,0,0,157500,238500,19120.5,238500,0.025164,-12265,-3078,-373,-662,0,2,6
100636,1,0,211500,1506816,49927.5,1350000,0.026392,-21022,-1539,-3528,-4578,0,2,18
100637,0,0,270000,765000,38250,765000,0.032561,-22883,-2360,-12685,-4236,0,1,11
100638,0,0,135000,203760,20151,180000,0.019101,-13468,-1401,-4237,-4237,0,2,9
100639,0,0,90000,158301,15552,148500,0.00702,-17573,-552,-5059,-1120,0,2,15
100640,0,2,157500,373311,20380.5,283500,0.006207,-11887,-2260,-356,-4298,0,2,16
100641,1,0,112500,254700,20250,225000,0.028663,-11405,-459,-11393,-2704,0,2,14
100642,0,0,157500,1350000,47056.5,1350000,0.015221,-21893,365243,-10290,-5222,0,2,12
100643,0,0,90000,755190,29677.5,675000,0.003069,-23185,365243,-5791,-4102,0,3,15
100644,0,2,76500,119925,13045.5,112500,0.014464,-12463,-1631,-2688,-3524,0,2,3
100645,0,0,247500,900000,31887,900000,0.019101,-12340,-3334,-4374,-4376,1,2,22
100646,1,0,216000,640080,31261.5,450000,0.010032,-15152,-298,-1290,-974,0,2,6
100647,0,0,99000,247500,12375,247500,0.025164,-17142,-1051,-1203,-672,0,2,8
100648,0,0,67500,225000,11074.5,225000,0.018209,-12749,-1607,-5956,-4045,0,3,15
100649,1,2,180000,284400,13387.5,225000,0.020713,-11653,-4832,-4833,-3068,0,3,14
100650,1,0,135000,808650,31333.5,675000,0.031329,-16582,-1496,-988,-124,1,2,9
100651,0,0,157500,634482,20596.5,454500,0.020713,-12838,-2271,-27,-1164,1,3,10
100670,0,0,112500,381528,14512.5,315000,0.030755,-19741,-3723,-1849,-3286,0,2,11
100671,0,1,135000,900000,46732.5,900000,0.032561,-12052,-1374,-5782,-4057,0,1,17
100672,1,0,112500,808650,26217,675000,0.006852,-21107,365243,-8291,-4540,0,3,5
100673,0,1,225000,942300,24984,675000,0.008019,-16313,-221,-8756,-4322,0,2,11
100687,0,0,243000,631332,40477.5,585000,0.00823,-12257,-1940,-6389,-4457,0,2,15
100688,0,2,135000,167121,13527,139500,0.020713,-13103,-1270,-542,-1040,0,3,6
100689,0,0,63000,528633,23413.5,472500,0.031329,-21752,365243,-9863,-4208,0,2,9
100690,1,1,135000,244998,16704,175500,0.007305,-12135,-3815,-1049,-4530,0,3,11
100691,0,2,225000,585000,29250,585000,0.00963,-15705,-1538,-1629,-4578,0,2,17
100709,0,2,157500,225000,11650.5,225000,0.016612,-8746,-1756,-8746,-1408,1,2,12
100710,0,0,180000,439740,21154.5,315000,0.009175,-11455,-382,-3875,-2866,0,2,11
100712,0,2,540000,1575000,43443,1575000,0.032561,-15111,-1247,-4063,-758,0,1,11
100713,1,0,180000,755190,32125.5,675000,0.025164,-12893,-290,-4688,-4746,0,2,10
100714,1,0,99000,548770.5,21892.5,490500,0.020713,-21818,365243,-12710,-511,0,3,8
100715,0,0,126000,337500,13549.5,337500,0.026392,-19139,-10098,-277,-2334,1,2,12
100716,0,1,135000,761067,60259.5,657000,0.018801,-11981,-2419,-5181,-3173,0,2,13
100717,1,0,135000,284400,13833,225000,0.020246,-10800,-908,-4300,-3160,1,3,10
100718,0,2,234000,360000,26325,360000,0.04622,-16297,-7481,-3500,-4909,0,1,13
100768,0,0,112500,277969.5,10606.5,229500,0.009175,-20438,-2271,-10241,-3991,0,2,16
100779,0,0,135000,1125000,46557,1125000,0.028663,-20681,-13878,-10061,-4207,0,2,9
100780,0,0,112500,679500,30834,679500,0.009175,-10565,-1244,-5449,-2254,0,2,16
100781,0,0,405000,1327648.5,42826.5,1039500,0.031329,-20204,-2402,-9586,-3005,0,2,18
100782,0,0,225000,1017000,29866.5,1017000,0.030755,-15573,-1760,-8302,-4734,0,2,13
